tipe_entitas,nama_entitas,tahun,nilai
"BUMN","Bukit Asam",2003,
"BUMN","Bukit Asam - Ombilin",2003,
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2003,
"Kontraktor","Adaro Indonesia, PT",2003,702293
"Kontraktor","Allied Indo Coal, PT",2003,
"Kontraktor","Antang Gunung Meratus, PT",2003,5099.26
"Kontraktor","Arutmin Indonesia, PT",2003,78943
"Kontraktor","Asmin Koalindo Tuhup, PT",2003,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2003,64186
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2003,
"Kontraktor","Baramarta, PD",2003,
"Kontraktor","Baramulti Suksessarana, PT",2003,
"Kontraktor","Batualam Selaras, PT",2003,
"Kontraktor","Berau Coal, PT",2003,414785
"Kontraktor","Borneo Indobara, PT",2003,
"Kontraktor","Firman Ketaun Perkasa, PT",2003,
"Kontraktor","Gunung Bayan Pratamacoal, PT",2003,1035
"Kontraktor","Indominco Mandiri, PT",2003,
"Kontraktor","Insani Bara Perkasa, PT",2003,
"Kontraktor","Interex Sacra Raya, PT",2003,
"Kontraktor","Intitirta Primasakti, PT",2003,
"Kontraktor","Jorong Barutama Greston, PT",2003,
"Kontraktor","Kadya Caraka Mulia, PT",2003,
"Kontraktor","Kalimantan Energi Lestari, PT",2003,
"Kontraktor","Kaltim Prima Coal, PT",2003,
"Kontraktor","Kartika Selabumi Mining, PT",2003,
"Kontraktor","Kendilo Coal Indonesia, PT",2003,
"Kontraktor","Kideco Jaya Agung, PT",2003,34489
"Kontraktor","Lanna Harita Indonesia, PT",2003,
"Kontraktor","Mahakam Sumber Jaya, PT",2003,
"Kontraktor","Mandiri Intiperkasa, PT",2003,
"Kontraktor","Mantimin Coal Mining, PT",2003,
"Kontraktor","Marunda Graha Mineral, PT",2003,
"Kontraktor","Multi Harapan Utama, PT",2003,
"Kontraktor","Multi Tambangjaya Utama, PT",2003,
"Kontraktor","Nusantara Termal Coal, PT",2003,
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2003,
"Kontraktor","Perkasa Inakakerta, PT",2003,
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2003,
"Kontraktor","Riau Bara Harum, PT",2003,
"Kontraktor","Santan Batubara, PT",2003,
"Kontraktor","Senamas Energindo Mulia, PT",2003,
"Kontraktor","Singlurus Pratama, PT",2003,
"Kontraktor","Sumber Kurnia Buana, PT",2003,
"Kontraktor","Tanito Harum, PT",2003,
"Kontraktor","Tanjung Alam Jaya, PT",2003,
"Kontraktor","Teguh Sinar Abadi, PT",2003,
"Kontraktor","Trubaindo Coal Mining, PT",2003,
"Kontraktor","Wahana Baratama Mining, PT",2003,
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2003,
"Kuasa Pertambangan Swasta","Prov. Jambi",2003,
