tahun,kode_provinsi,nama_provinsi,luas_panen,produktivitas,produksi,latitude,longitude
1993,1100,Prov. Nanggroe Aceh Darussalam,323589,40.17,1299699,5.55,95.31667
1993,1200,Prov. Sumatera Utara,754569,38.67,2918152,3.583333,98.66666
1993,1300,Prov. Sumatera Barat,394412,45.8,1806424,-0.95,100.3531
1993,1400,Prov. Riau,146133,29.86,436297,0.4816667,101.4686
1993,1500,Prov. Jambi,199431,30.46,607529,-1.589167,103.61
1993,1600,Prov. Sumatera Selatan,439895,32.04,1409559,-2.990833,104.7567
1993,1700,Prov. Bengkulu,109807,32.49,356709,-3.795556,102.2592
1993,1800,Prov. Lampung,433078,38.03,1646900,-5.429722,105.2625
1993,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1993,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1993,3100,Prov. DKI Jakarta,5945,47.92,28488,-6.183333,106.8333
1993,3200,Prov. Jawa Barat,2152592,50.27,10820862,-6.914722,107.6097
1993,3300,Prov. Jawa Tengah,1580657,51.72,8174897,-6.966667,110.4167
1993,3400,Prov. D I Yogyakarta,136534,47.21,644642,-7.801389,110.3644
1993,3500,Prov. Jawa Timur,1639016,52.64,8627784,-7.266667,112.7167
1993,3600,Prov. Banten,0,0,0,-6.12,106.1503
1993,5100,Prov. Bali,159994,52.32,837054,-8.65,115.2167
1993,5200,Prov. Nusa Tenggara Barat,271938,43.65,1186926,-8.583333,116.1167
1993,5300,Prov. Nusa Tenggara Timur,143578,26.6,381915,-10.18333,123.5833
1993,6100,Prov. Kalimantan Barat,330442,23.31,770136,-0.0166667,109.3333
1993,6200,Prov. Kalimantan Tengah,151812,20.67,313729,-2.21,113.92
1993,6300,Prov. Kalimantan Selatan,395646,28.77,1138140,-3.314444,114.5925
1993,6400,Prov. Kalimantan Timur,110157,23.12,254730,-0.5022222,117.1536
1993,7100,Prov. Sulawesi Utara,98047,40.11,393314,1.493056,124.8414
1993,7200,Prov. Sulawesi Tengah,145426,31.8,462505,-0.9,119.8333
1993,7300,Prov. Sulawesi Selatan,761912,43.36,3303591,-5.133333,119.4167
1993,7400,Prov. Sulawesi Tenggara,74138,29.8,220919,-3.9675,122.5947
1993,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1993,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1993,8100,Prov. Maluku,20413,25.15,51330,-3.7,128.1667
1993,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1993,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1993,9400,Prov. Papua,14759,25.13,37090,-2.533056,140.7169
1994,1100,Prov. Nanggroe Aceh Darussalam,329041,40.41,1329536,5.55,95.31667
1994,1200,Prov. Sumatera Utara,792534,38.86,3079960,3.583333,98.66666
1994,1300,Prov. Sumatera Barat,382740,45.66,1747543,-0.95,100.3531
1994,1400,Prov. Riau,146177,30.47,445361,0.4816667,101.4686
1994,1500,Prov. Jambi,184029,30.69,564722,-1.589167,103.61
1994,1600,Prov. Sumatera Selatan,422109,31.93,1347611,-2.990833,104.7567
1994,1700,Prov. Bengkulu,104747,31.91,334232,-3.795556,102.2592
1994,1800,Prov. Lampung,425940,37.93,1615751,-5.429722,105.2625
1994,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1994,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1994,3100,Prov. DKI Jakarta,4803,47.81,22965,-6.183333,106.8333
1994,3200,Prov. Jawa Barat,1960210,50.3,9860375,-6.914722,107.6097
1994,3300,Prov. Jawa Tengah,1498279,51.54,7722611,-6.966667,110.4167
1994,3400,Prov. D I Yogyakarta,135838,47.36,643266,-7.801389,110.3644
1994,3500,Prov. Jawa Timur,1577107,52.6,8296348,-7.266667,112.7167
1994,3600,Prov. Banten,0,0,0,-6.12,106.1503
1994,5100,Prov. Bali,152808,52.45,801495,-8.65,115.2167
1994,5200,Prov. Nusa Tenggara Barat,271088,43.81,1187513,-8.583333,116.1167
1994,5300,Prov. Nusa Tenggara Timur,158032,25.99,410757,-10.18333,123.5833
1994,6100,Prov. Kalimantan Barat,328445,23.34,766542,-0.0166667,109.3333
1994,6200,Prov. Kalimantan Tengah,180928,20.04,362497,-2.21,113.92
1994,6300,Prov. Kalimantan Selatan,390426,28.77,1123082,-3.314444,114.5925
1994,6400,Prov. Kalimantan Timur,132649,23.23,308154,-0.5022222,117.1536
1994,7100,Prov. Sulawesi Utara,97240,40.23,391186,1.493056,124.8414
1994,7200,Prov. Sulawesi Tengah,138601,32.41,449185,-0.9,119.8333
1994,7300,Prov. Sulawesi Selatan,795195,43.61,3467984,-5.133333,119.4167
1994,7400,Prov. Sulawesi Tenggara,80533,30.66,246936,-3.9675,122.5947
1994,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1994,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1994,8100,Prov. Maluku,11662,25.64,29904,-3.7,128.1667
1994,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1994,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1994,9400,Prov. Papua,16573,25.86,42864,-2.533056,140.7169
1995,1100,Prov. Nanggroe Aceh Darussalam,339253,40.33,1368074,5.55,95.31667
1995,1200,Prov. Sumatera Utara,795183,39.42,3134533,3.583333,98.66666
1995,1300,Prov. Sumatera Barat,400627,45.66,1829192,-0.95,100.3531
1995,1400,Prov. Riau,152204,30.14,458756,0.4816667,101.4686
1995,1500,Prov. Jambi,193666,30.65,593502,-1.589167,103.61
1995,1600,Prov. Sumatera Selatan,492448,31.64,1557944,-2.990833,104.7567
1995,1700,Prov. Bengkulu,115914,32.55,377337,-3.795556,102.2592
1995,1800,Prov. Lampung,514363,37.79,1943709,-5.429722,105.2625
1995,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1995,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1995,3100,Prov. DKI Jakarta,4006,48.2,19309,-6.183333,106.8333
1995,3200,Prov. Jawa Barat,2125666,50.44,10722717,-6.914722,107.6097
1995,3300,Prov. Jawa Tengah,1587046,51.66,8198084,-6.966667,110.4167
1995,3400,Prov. D I Yogyakarta,135346,47.44,642120,-7.801389,110.3644
1995,3500,Prov. Jawa Timur,1627332,52.68,8572668,-7.266667,112.7167
1995,3600,Prov. Banten,0,0,0,-6.12,106.1503
1995,5100,Prov. Bali,157755,52.69,831172,-8.65,115.2167
1995,5200,Prov. Nusa Tenggara Barat,282656,43.72,1235882,-8.583333,116.1167
1995,5300,Prov. Nusa Tenggara Timur,159823,26.27,419929,-10.18333,123.5833
1995,6100,Prov. Kalimantan Barat,350044,23.64,827669,-0.0166667,109.3333
1995,6200,Prov. Kalimantan Tengah,184355,20.51,378129,-2.21,113.92
1995,6300,Prov. Kalimantan Selatan,410605,28.96,1189062,-3.314444,114.5925
1995,6400,Prov. Kalimantan Timur,152287,23.78,362193,-0.5022222,117.1536
1995,7100,Prov. Sulawesi Utara,98853,40.17,397113,1.493056,124.8414
1995,7200,Prov. Sulawesi Tengah,165800,32.55,539648,-0.9,119.8333
1995,7300,Prov. Sulawesi Selatan,850302,43.83,3727081,-5.133333,119.4167
1995,7400,Prov. Sulawesi Tenggara,90800,31.65,287355,-3.9675,122.5947
1995,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1995,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1995,8100,Prov. Maluku,14862,23.65,35151,-3.7,128.1667
1995,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1995,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1995,9400,Prov. Papua,19484,25.21,49115,-2.533056,140.7169
1996,1100,Prov. Nanggroe Aceh Darussalam,348223,40.75,1419128,5.55,95.31667
1996,1200,Prov. Sumatera Utara,790051,39.7,3136760,3.583333,98.66666
1996,1300,Prov. Sumatera Barat,430343,45.8,1971180,-0.95,100.3531
1996,1400,Prov. Riau,150354,30.72,461905,0.4816667,101.4686
1996,1500,Prov. Jambi,215975,30.45,657650,-1.589167,103.61
1996,1600,Prov. Sumatera Selatan,495958,33.6,1666591,-2.990833,104.7567
1996,1700,Prov. Bengkulu,121929,32.56,396977,-3.795556,102.2592
1996,1800,Prov. Lampung,515192,38.27,1971740,-5.429722,105.2625
1996,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1996,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
